,site,failed_src,successful_src,src_fail_rate
22,KR-KNU-T3,28300.0,408076,0.06485232918400645
11,BelGrid-UCL,13979.0,23703,0.3709728782973303
14,DESY-HH,13459.0,153970,0.08038631300431825
17,Vanderbilt,11193.0,94998,0.10540441280334492
31,MIT_CMS,10499.0,44224,0.1918571715731959
13,Nebraska,8389.0,33848,0.19861732604114876
4,BEgrid-ULB-VUB,8115.0,75893,0.09659794305304256
45,UKI-SOUTHGRID-RALPP,7946.0,17187,0.31615803923128954
8,CIT_CMS_T2,7632.0,42826,0.1512545087003052
46,UFlorida-HPC,6536.0,39805,0.14104141041410415
